pmid,cid,chem,outcome
33395947,6626,bisphenol S,Developmental
33992119,6626,bisphenol S,Developmental
33885253,6626,Bisphenol S,Genetic
34241998,6626,Bisphenol S,Genetic
35569583,6626,Bisphenol S,Genetic
36054626,6626,bisphenol s,Genetic
35561261,6626,Bisphenol S,Hepatic
33297965,6626,bisphenol S,"Hepatic, Genetic"
32867778,6626,bisphenol S,Immune
33011352,6626,Bisphenol S,Immune
32911021,6626,bisphenol S,Immune
33462300,6626,Bisphenol S,Immune
34270681,6626,bisphenol S,Inflammation
33182144,6626,bisphenol S,Inflammation
34481040,6626,bisphenol S,Metabolic
33326921,6626,bisphenol S,Metabolic
33865937,6626,bisphenol S,Metabolic
32750123,6626,bisphenol S,Metabolic
34915096,6626,Bisphenol S,Metabolic
33250229,6626,Bisphenol S,Metabolic
32403013,6626,bisphenol S,Metabolic
34912683,6626,Bisphenol S,Metabolic
35779701,6626,bisphenol S,Metabolic
34837624,6626,Bisphenol S,Metabolic
34097938,6626,bisphenol S,"Metabolic, Behavioral, Immune"
35709251,6626,bisphenol S,"Metabolic, Cardio-vascular"
36227336,6626,Bisphenol S,"Pregnancy, Metabolic"
31532523,6626,Bisphenol S,Reproductive
35940031,6626,Bisphenol S,Reproductive
34038751,6626,Bisphenol S,Reproductive
33155548,6626,Bisphenol S,Reproductive
32071231,6626,bisphenol S,Reproductive
36470355,6626,Bisphenol S,Reproductive
34979091,6626,Bisphenol S,Reproductive
31424294,6626,bisphenol S,Reproductive
31132128,6626,Bisphenol S,Reproductive
32466766,6626,Bisphenol S,Reproductive
34831106,6626,bisphenol S,Reproductive
33678156,6626,bisphenol S,Reproductive
31514588,6626,bisphenol S,Reproductive
33017704,6626,Bisphenol S,Reproductive
31690802,6626,Bisphenol S,Reproductive
36096261,6626,Bisphenol S,Reproductive
34002388,6626,bisphenol S,"Reproductive, Cell damage"
29326794,6626,Bisphenol S,"Reproductive, Cell damage"
35283775,6626,Bisphenol S,"Reproductive, Genetic"
32742594,6626,bisphenol S,"Reproductive, Genetic, Cell damage"
34822682,6626,Bisphenol S,Respiratory
31501865,6626,Bisphenol S,Skeletal
32668547,6626,bisphenol S,Skeletal
32496146,6626,bisphenol S,Thyroid
35802331,6626,bisphenol S,Thyroid
33068853,6626,bisphenol S,Thyroid
34979203,6626,Bisphenol S ,"Inflammation, Digestive"
35457000,6626,bisphenol S ,Metabolic
34781130,6626,bisphenol S ,Pregnancy
32070782,232446,bisphenol Z,Metabolic
36470355,232446,Bisphenol Z,Reproductive
32496146,232446,bisphenol Z,Thyroid
34819716,6623,Bisphenol-A,Cell damage
32926169,6623,Bisphenol-A,"Cognitive-Behavioral, Neurological, Genetic"
32997969,2347,butyl benzyl phthalate,Conitive-Behavioral
33807420,2347,Butyl Benzyl Phthalate,Reproductive
35163327,2347,butyl benzyl phthalate,"Reproductive,Tumors"
34358912,2347,butyl-benzyl phthalate,Thyroid
35975911,7184,butylparaben,Cancer
34952328,7184,butylparaben,Cardio-vascular
32623865,7184,butylparaben,Cell damage
36277366,7184,butylparaben,Cell damage
32521303,7184,butylparaben,Developmental
33683593,7184,butylparaben,Developmental
32702374,7184,Butylparaben,Hepatic
33477047,7184,butylparaben,Reproductive
32798586,7184,butylparaben,Thyroid
36335879,23973,cadmium,Cancer
27940299,23973,cadmium,Cancer
33153845,23973,cadmium,Cancer
34015299,23973,Cadmium,Cancer
34128436,23973,cadmium,"Cell damage, Reproductive"
33779718,23973,cadmium,Cognitive-Behavioral
35047503,23973,Cadmium,Genetic
34332300,23973,cadmium,Pregnancy
33280922,23973,Cadmium,Reproductive
35236366,23973,Cadmium,Reproductive
34022900,23973,Cadmium,Reproductive
33239073,23973,cadmium,Reproductive
32497815,23973,Cadmium,Reproductive
34208970,23973,Cadmium,Reproductive
33249230,23973,Cadmium,Reproductive
31949881,23973,Cadmium,Reproductive
35453667,23973,Cadmium,Reproductive
33199064,23973,cadmium,Reproductive
34986559,23973,cadmium,Reproductive
32329151,23973,Cadmium,Reproductive
34634736,23973,cadmium,Reproductive
32671713,23973,cadmium,Reproductive
35629026,23973,Cadmium,Skeletal
33493726,23973,Cadmium,"Skeletal, Hepatic, Metabolic"
34530290,23973,Cadmium,Thyroid
34202188,23973,Cadmium,Thyroid
35457000,24947,cadmium chloride,Metabolic
34498184,472387340,canola oil,Reproductive
28267586,2554,carbamazepine,"Neurological, Cell damage, Immune"
32199167,23974,Cerium,Thyroid
29164652,10219615,Cerium oxide,Reproductive
34880833,299,Chlordecone,"Thyroid, Metabolic, Reproductive"
34958886,13836,Chlorocholine chloride,Reproductive
32526215,2730,chlorpyrifos,Cancer
34506784,2730,chlorpyrifos,Cancer
32956863,2730,Chlorpyrifos,Cancer
35457321,2730,chlorpyrifos,Cancer
32166211,2730,chlorpyrifos,Cancer
34985812,2730,chlorpyrifos,"Inflammation, Cell damange"
32017950,2730,Chlorpyrifos,Metabolic
36347328,2730,chlorpyrifos,Neurological
25889763,2730,chlorpyrifos,"Neurological, Cognitive-Behavioral"
34060014,2730,chlorpyrifos,Reproductive
36356884,2730,chlorpyrifos,Reproductive
32481206,2730,chlorpyrifos,Reproductive
34400204,2730,chlorpyrifos,Reproductive
31400786,2730,chlorpyrifos,"Reproductive, Immune"
32679048,23976,chromium,Reproductive
33910022,2812,clotrimazole,Reproductive
33321388,104730,Cobalt,Pregnancy
32004626,23978,Copper,Reproductive
8286579,5281707,coumestrol,Reproductive
23762632,30773,cyanazine,Cancer
34968715,11578610,Cyantraniliprole,"Reproductive, Cell damage"
35394964,104926,Cyfluthrin,Metabolic
34484665,2912,Cypermethrin,Cell damage
35610186,2912,Cypermethrin,Cell damage
36084878,2912,cypermethrin,Immune
35434465,2912,cypermethrin,Metabolic
35605701,2912,cypermethrin,Reproductive
35102696,2912,Cypermethrin,Reproductive
